,parameter multiplier,mean result,mean time
0,1e-08,0.0013649481466666664,51070.666666666664
1,2e-08,0.0011205334666666666,51007.566666666666
2,3e-08,0.023204722873333333,50937.46666666667
3,4e-08,0.01769134384833333,50962.8
4,5e-08,0.014308283403999998,50971.333333333336
5,6e-08,0.012127929206666664,50967.38888888889
6,7e-08,0.010571606339047619,50974.8380952381
7,8e-08,0.009354423305833333,50978.083333333336
8,9e-08,0.008447301385185185,50983.75555555556
9,1e-07,0.007729002392666665,50991.28666666667
10,2e-07,0.007098743430909091,50996.587878787876
11,3e-07,0.006588007752222221,50993.28333333333
12,4e-07,0.006167347073846152,50981.635897435895
13,5e-07,0.00576091892952381,50987.05714285714
14,6e-07,0.005449052557777778,50989.21333333333
15,7e-07,0.005156179764583334,51004.45416666667
16,8e-07,0.004897023963137254,51015.43529411765
17,9e-07,0.004685738920740741,51048.47037037037
18,1e-06,0.004481695728421053,51046.61754385965
19,2e-06,0.004305717541999999,51050.416666666664
20,3e-06,0.004149939389301587,51054.09523809524
21,4e-06,0.004027487092818182,51051.0
22,5e-06,0.0038989731832753624,51041.4115942029
23,6e-06,0.0038069669987777772,51026.822222222225
24,7e-06,0.0036973271917599988,51017.138666666666
25,8e-06,0.003599820824897435,51006.36666666667
26,9e-06,0.003506591388172839,51004.91358024691
27,1e-05,0.005792784922404762,51011.89523809524
28,2e-05,0.005649977393356321,51012.06206896552
29,3e-05,0.005499090563355556,51030.62888888889
30,4e-05,0.0053478384714193555,51067.393548387096
31,5e-05,0.005203849968979167,51379.70208333333
32,6e-05,0.005085681742040405,51621.020202020205
33,7e-05,0.004953124097666665,51704.592156862745
34,8e-05,0.006731846664399999,51692.88
35,9e-05,0.0065951340570555555,51679.85
36,0.0001,0.0064475433971351356,51656.985585585586
37,0.0002,0.006309894546684211,51643.91052631579
38,0.0003,0.006177658238905982,51601.46837606838
39,0.0004,0.006048745475933333,51562.833333333336
40,0.0005,0.0059335616514796736,51501.22601626016
41,0.0006,0.0058171271083492055,51448.75396825397
42,0.0007,0.005706546233209302,51379.57829457364
43,0.0008,0.005614315260484847,51317.065151515155
44,0.0009,0.005518255380622223,51262.27851851852
45,0.001,0.00541776536526087,51204.54927536232
46,0.002,0.005324553590539007,51182.16737588652
47,0.003,0.005235494139069444,51132.041666666664
48,0.004,0.0051522346892925175,51081.28571428572
49,0.005,0.005071191627506666,51035.072
50,0.006,0.005002067354941175,50988.12679738562
51,0.007,0.004930839736320512,50943.61282051282
52,0.008,0.004884857026830188,50905.65911949686
53,0.009,0.004849522648555556,50866.36543209876
54,0.01,0.0048155906804,50826.58181818182
55,0.02,0.004848768530035714,50782.42380952381
56,0.03,0.0048590409993333325,50745.761403508775
57,0.04,0.004875057301643678,50700.19655172414
58,0.05,0.0049116515157401125,50656.264406779665
59,0.06,0.005014097310477778,50611.01888888889
60,0.07,0.00520198123653552,50572.389071038255
61,0.08,0.005483713990784946,50524.86451612903
62,0.09,0.005665785577174603,50476.37354497355
63,0.1,0.006161741917114582,50429.78125
64,0.2,0.006766125774799999,50357.45230769231
65,0.3,0.007398030020636363,50274.74545454545
66,0.4,0.008145674294955224,50209.97512437811
67,0.5,0.009563973123950981,50143.10882352941
68,0.6,0.010956893619739129,50058.68502415459
69,0.7,0.012261601539457146,49974.39523809524
70,0.8,0.013471980860497654,49889.908920187794
71,0.9,0.015218006496694445,49813.38333333333
72,1.0,0.01636833826157991,49732.03470319635
