,parameter multiplier,mean result,mean time
0,1e-08,0.0017520297333333337,51364.8
1,2e-08,0.0013707029933333335,51732.13333333333
2,3e-08,0.00113735164,51694.311111111114
3,4e-08,0.0010767106966666667,51758.833333333336
4,5e-08,0.0010887378586666668,51803.77333333333
5,6e-08,0.0011160568844444446,51757.28888888889
6,7e-08,0.001086965881904762,51747.8
7,8e-08,0.0010310846416666667,51700.7
8,9e-08,0.0011060938518518517,51701.955555555556
9,1e-07,0.0011225610193333335,51659.013333333336
10,2e-07,0.001126342763030303,51691.01212121212
11,3e-07,0.0010888553483333334,51670.3
12,4e-07,0.0011234142046153846,51690.10256410256
13,5e-07,0.001199942234761905,51750.276190476194
14,6e-07,0.0012120630080000002,51748.12888888889
15,7e-07,0.0011829198975,51751.1875
16,8e-07,0.0012373443643137255,51753.5568627451
17,9e-07,0.0012082179903703705,51742.11111111111
18,1e-06,0.0011881652978947368,51768.8
19,2e-06,0.004515672521666667,51752.39333333333
20,3e-06,0.004343320292380952,51757.1619047619
21,4e-06,0.00418038391030303,51761.009090909094
22,5e-06,0.004077143360869565,51744.26956521739
23,6e-06,0.003939293298611111,51747.447222222225
24,7e-06,0.003828494560533332,51740.38933333333
25,8e-06,0.0037133079058974355,51722.77948717949
26,9e-06,0.0036255948441975307,51704.212345679014
27,1e-05,0.00354261144047619,51701.857142857145
28,2e-05,0.003470522206666666,51707.74942528736
29,3e-05,0.005594900460444445,51720.177777777775
30,4e-05,0.005453705899139784,51712.94623655914
31,5e-05,0.0053203921887499984,51706.36041666667
32,6e-05,0.005184094829494948,51696.97777777778
33,7e-05,0.005047331667058823,51684.62549019608
34,8e-05,0.004933097099238094,51674.961904761905
35,9e-05,0.0048171591761111115,51665.49259259259
36,0.0001,0.004709794133513513,51656.89189189189
37,0.0002,0.004601443848947368,51651.25964912281
38,0.0003,0.004514734448495726,51653.33162393163
39,0.0004,0.006089202134616668,51641.386666666665
40,0.0005,0.005956975798650407,51631.92682926829
41,0.0006,0.005835599632492063,51621.7507936508
42,0.0007,0.005723538594527132,51613.452713178296
43,0.0008,0.00560708855880303,51604.82727272727
44,0.0009,0.0055027279933481475,51595.1762962963
45,0.001,0.00541004717610145,51590.12463768116
46,0.002,0.005329413697177305,51618.64680851064
47,0.003,0.006628563809597222,51624.34583333333
48,0.004,0.006507380161659862,51625.94693877551
49,0.005,0.006401079391226666,51638.604
50,0.006,0.00628826110277124,51645.19346405229
51,0.007,0.006189177287717948,51639.9
52,0.008,0.006121254425056602,51641.63396226415
53,0.009,0.006062081974962962,51637.748148148145
54,0.01,0.0071951240299636355,51632.56848484848
55,0.02,0.007081870492285714,51634.313095238096
56,0.03,0.0069951356397894736,51627.49005847953
57,0.04,0.006901140536574712,51623.38965517242
58,0.05,0.006802076496858757,51617.042937853104
59,0.06,0.006709908086133334,51610.508888888886
60,0.07,0.006626035475759563,51604.48852459016
61,0.08,0.0065386323627096765,51600.77204301075
62,0.09,0.006443949525206349,51593.57777777778
63,0.1,0.0063535141423020835,51587.334375
64,0.2,0.006268208622574359,51580.12923076923
65,0.3,0.0061862927737474736,51578.59595959596
66,0.4,0.006106791865681591,51571.74328358209
67,0.5,0.006038065337950979,51568.02843137255
68,0.6,0.005961048104260868,51568.145893719804
69,0.7,0.00588705347772381,51567.33714285714
70,0.8,0.0058229183076150244,51562.367136150235
71,0.9,0.005762262091027778,51557.968518518515
72,1.0,0.005696290062840183,51568.61187214612
